Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6,Decision 7,Value 7
Universe_77,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages,year_interaction, + year:damages,model,log_linear
Universe_78,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages,year_interaction, + year:damages,model,neg_binomial
Universe_79,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,log_linear
Universe_80,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,neg_binomial
Universe_81,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,log_linear
Universe_82,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,neg_binomial
Universe_83,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,log_linear
Universe_84,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,neg_binomial
Universe_85,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,log_linear
Universe_86,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,neg_binomial
Universe_87,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,log_linear
Universe_88,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,neg_binomial
Universe_89,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,log_linear
Universe_90,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,neg_binomial
Universe_91,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,log_linear
Universe_92,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,neg_binomial
Universe_93,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,log_linear
Universe_94,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,neg_binomial
Universe_95,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,log_linear
Universe_96,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,neg_binomial
Universe_97,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction,,model,log_linear
Universe_98,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction,,model,neg_binomial
